ID,PerformanceRatings,SalaryIncrease,EquityIncrease,TotalCompIncrease,CompaRatioBefore,CompaRatioAfter
ID941,3,0.057,0.115,0.086,0.876,0.926
ID82,4,0.06,0.161,0.1,1.01,1.071
ID544,3,0.049,0.101,0.075,0.987,1.036
ID309,3,0.058,0,0.058,0.941,0.995
ID355,5,0.064,0.287,0.136,0.871,0.927
ID307,3,0.047,0.076,0.066,0.822,0.86
ID816,3,0.047,0.286,0.118,0.85,0.89
ID550,3,0.049,0.143,0.085,0.969,1.017
ID598,3,0.04,0.034,0.048,1.031,1.072
ID77,3,0.065,0,0.065,0.981,1.045
ID489,5,0.064,0.1,0.089,0.962,1.024
ID706,5,0.079,0.28,0.149,0.895,0.966
ID659,3,0.055,0.266,0.121,0.903,0.952
ID714,4,0.083,0.1,0.108,0.908,0.983
ID759,3,0.038,0.217,0.092,1.041,1.08
ID807,3,0.052,0,0.052,1.114,1.172
ID400,2,0,0,0,1.04,1.04
ID590,4,0,0.434,0.108,1.12,1.12
ID473,2,0,0,0,1.036,1.036
ID549,2,0,0,0,0.912,0.912
ID848,4,0.069,0.274,0.138,0.971,1.038
ID279,3,0.063,0.162,0.104,1.095,1.165
ID821,3,0.048,0.363,0.138,0.779,0.816
ID884,3,0.046,0,0.046,0.746,0.8
ID648,3,0.05,0.155,0.088,1.006,1.056
ID291,4,0.083,0.459,0.197,1.2,1.299
ID896,3,0.039,0.07,0.057,1.094,1.137
ID624,3,0,0,0,1.07,1.07
ID686,5,0.083,0.431,0.191,1.017,1.101
ID712,4,0.073,0.308,0.15,1.15,1.234
ID40,3,0.048,0,0.048,0.961,1.007
ID268,3,0.069,0.13,0.102,0.876,0.936
ID954,5,0.051,0.288,0.123,1.029,1.082
ID196,3,0.048,0.233,0.106,1.169,1.225
ID874,3,0.048,0.052,0.06,0.852,0.893
ID669,3,0.06,0,0.06,1.2,1.271
ID151,3,0.045,0.245,0.106,1.08,1.129
ID976,3,0.055,0.361,0.145,1.032,1.089
ID475,3,0.051,0.2,0.101,0.877,0.922
ID38,4,0.079,0.425,0.185,0.994,1.072
ID91,4,0,0.251,0.063,0.946,0.946
ID113,3,0.047,0.209,0.099,1.016,1.064
ID138,4,0.071,0,0.071,0.783,0.838
ID760,4,0.093,0.1,0.118,0.72,0.8
ID383,3,0.055,0.172,0.098,0.978,1.031
ID920,3,0.059,0.272,0.127,1.079,1.142
ID125,2,0,0,0,1.067,1.067
ID310,2,0,0,0,1.112,1.112
ID801,3,0.049,0.135,0.083,0.874,0.917
ID713,4,0.061,0.2,0.111,0.958,1.016
ID638,5,0.095,0.441,0.205,1.139,1.248
ID708,5,0.08,0.223,0.136,0.986,1.065
ID351,3,0.063,0.316,0.142,1.136,1.207
ID813,3,0.04,0,0.04,0.856,0.891
ID4,3,0.04,0.072,0.058,1.008,1.048
ID845,5,0.083,0.138,0.117,1.099,1.189
ID569,5,0.096,0.232,0.154,1.028,1.127
ID802,2,0,0,0,1.143,1.143
ID251,3,0.047,0.236,0.106,0.917,0.96
ID729,3,0.031,0.254,0.095,1.09,1.124
ID168,5,0.098,0.302,0.174,0.914,1.004
ID304,1,0,0,0,0.896,0.896
ID779,3,0.03,0.246,0.092,1.128,1.162
ID317,3,0.058,0.131,0.091,0.762,0.806
ID916,3,0.052,0,0.052,1.026,1.08
ID955,3,0.05,0.125,0.081,1.089,1.143
ID593,2,0,0,0,1.002,1.002
ID970,5,0.074,0.271,0.141,0.797,0.856
ID627,2,0,0,0,1.042,1.042
ID385,3,0.049,0,0.049,0.913,0.958
ID697,4,0.089,0.159,0.129,0.826,0.9
ID381,3,0.047,0,0.047,1.155,1.21
ID178,3,0.041,0,0.041,1.018,1.06
ID961,4,0.078,0,0.078,0.948,1.022
ID152,2,0,0,0,0.95,0.95
ID520,2,0.002,0,0.002,0.842,0.844
ID839,3,0.053,0,0.053,1.2,1.264
ID87,2,0.003,0,0.003,0.731,0.8
ID203,3,0.067,0,0.067,0.983,1.049
ID421,3,0.054,0.15,0.091,1.053,1.11
ID120,3,0.073,0.269,0.141,1.119,1.201
ID170,3,0.038,0.067,0.054,1.062,1.102
ID568,4,0.094,0.504,0.22,0.994,1.087
ID100,4,0.075,0.336,0.159,1.041,1.119
ID531,4,0.066,0.321,0.146,0.87,0.927
ID574,2,0.005,0,0.005,0.986,0.992
ID321,3,0.047,0,0.047,1.2,1.256
ID873,3,0.048,0.19,0.095,0.917,0.961
ID254,4,0.093,0.26,0.158,0.983,1.075
ID943,5,0.074,0.186,0.12,1.034,1.11
ID796,3,0.068,0.223,0.124,0.995,1.062
ID305,3,0.054,0,0.054,0.944,0.995
ID536,3,0.051,0,0.051,0.731,0.8
ID509,5,0.067,0.414,0.17,1.096,1.17
ID22,3,0.062,0.335,0.146,0.975,1.035
ID836,5,0.073,0.332,0.156,0.969,1.04
ID233,1,0,0,0,1.068,1.068
ID84,3,0.042,0,0.042,1.082,1.128
ID710,3,0.03,0.158,0.07,1.111,1.145
ID825,3,0.052,0.263,0.117,0.898,0.944
ID674,5,0.072,0.194,0.12,0.94,1.007
ID790,3,0.05,0.12,0.08,0.968,1.017
ID455,4,0.097,0.226,0.154,0.95,1.043
ID981,3,0.051,0.101,0.076,1.044,1.097
ID928,5,0.072,0.517,0.202,0.96,1.03
ID937,3,0.045,0.203,0.096,0.7,0.8
ID902,5,0.092,0.172,0.135,1.045,1.141
ID295,3,0.06,0.192,0.108,0.976,1.035
ID94,3,0.046,0,0.046,0.909,0.951
ID762,3,0.048,0.153,0.086,0.826,0.865
ID994,3,0.05,0.209,0.102,1.079,1.133
ID774,3,0.039,0.196,0.088,0.842,0.875
ID72,2,0,0,0,1.136,1.136
ID914,3,0.038,0.196,0.087,0.88,0.913
ID16,4,0.075,0.48,0.195,0.786,0.845
ID286,3,0.046,0.317,0.125,0.897,0.938
ID662,5,0.109,0.208,0.161,0.907,1.006
ID54,3,0.059,0.229,0.117,0.933,0.988
ID397,3,0.043,0,0.043,1.021,1.065
ID402,3,0.029,0,0.029,0.894,0.92
ID735,3,0.036,0.178,0.081,0.991,1.027
ID656,3,0,0.343,0.086,0.889,0.889
ID127,4,0.075,0.147,0.112,0.857,0.922
ID171,3,0.048,0.368,0.14,1.089,1.142
ID405,3,0.038,0.057,0.053,0.833,0.865
ID131,3,0.058,0.266,0.125,0.906,0.959
ID917,4,0.066,0.304,0.142,1.104,1.177
ID875,3,0.056,0.24,0.116,0.973,1.028
ID982,3,0.057,0.164,0.098,0.959,1.014
ID422,2,0,0,0,1.051,1.051
ID252,4,0.09,0.308,0.167,0.889,0.969
ID117,4,0.075,0.22,0.13,0.7,0.8
ID756,2,0,0,0,1.072,1.072
ID174,2,0,0,0,1.139,1.139
ID623,3,0.041,0,0.041,1.054,1.097
ID340,4,0.059,0.403,0.16,0.952,1.008
ID243,3,0.045,0.125,0.076,1.074,1.122
ID886,3,0,0.305,0.076,0.994,0.994
ID334,5,0.078,0.203,0.129,1.114,1.201
ID371,3,0.041,0.228,0.098,1.031,1.073
ID199,1,0,0,0,1.078,1.078
ID666,1,0,0,0,0.87,0.87
ID468,4,0.076,0.241,0.136,0.878,0.945
ID354,3,0.049,0.314,0.128,1.059,1.111
ID881,5,0.071,0.239,0.13,0.968,1.037
ID246,3,0.075,0.113,0.103,1.068,1.148
ID180,3,0.049,0,0.049,0.987,1.036
ID220,3,0.049,0.218,0.104,0.754,0.8
ID869,3,0.041,0.092,0.064,1.2,1.25
ID788,1,0,0,0,0.911,0.911
ID480,3,0.046,0.196,0.095,0.743,0.8
ID75,4,0.074,0.234,0.132,1.2,1.288
ID110,3,0.056,0.212,0.109,0.808,0.853
ID539,4,0.093,0.206,0.145,0.898,0.982
ID267,3,0.05,0.126,0.081,1.025,1.076
ID930,3,0.061,0,0.061,0.949,1.006
ID119,3,0.039,0.106,0.065,1.097,1.14
ID145,4,0.086,0.375,0.18,0.875,0.951
ID478,3,0,0.218,0.055,0.914,0.914
ID312,2,0,0,0,0.794,0.794
ID64,4,0.079,0.221,0.135,0.905,0.977
ID223,3,0.039,0.413,0.142,0.982,1.02
ID20,3,0.047,0,0.047,0.944,0.988
ID21,4,0.075,0.352,0.163,0.731,0.8
ID187,5,0.082,0,0.082,0.834,0.903
ID975,1,0,0,0,0.968,0.968
ID507,3,0.047,0,0.047,0.728,0.8
ID29,2,0,0,0,1.166,1.166
ID866,1,0,0,0,1.013,1.013
ID645,3,0.068,0.174,0.111,1.028,1.098
ID316,4,0.085,0.177,0.129,1.12,1.215
ID973,3,0,0.205,0.051,0.83,0.83
ID462,2,0,0.075,0.019,0.864,0.864
ID373,3,0.042,0.189,0.09,1.132,1.18
ID912,5,0.066,0.233,0.124,0.995,1.061
ID681,4,0.071,0,0.071,0.933,0.999
ID224,3,0.041,0.11,0.069,0.893,0.93
ID433,1,0,0,0,1.032,1.032
ID998,2,0,0,0,0.98,0.98
ID649,3,0.044,0,0.044,0.963,1.005
ID840,2,0.015,0,0.015,1.056,1.072
ID887,4,0.061,0.245,0.122,0.998,1.059
ID129,4,0.058,0.37,0.15,0.899,0.95
ID819,3,0.055,0.047,0.066,1.092,1.151
ID55,5,0.07,0.202,0.121,0.821,0.879
ID159,2,0,0.089,0.022,0.893,0.893
ID640,2,0,0,0,0.879,0.879
ID936,5,0.099,0.396,0.198,0.769,0.845
ID841,3,0.024,0.362,0.114,0.883,0.905
ID861,3,0.04,0.13,0.073,1.125,1.171
ID862,3,0.05,0.059,0.065,0.964,1.012
ID467,3,0.047,0,0.047,1.109,1.161
ID458,3,0.053,0.435,0.161,0.881,0.927
ID32,3,0.061,0,0.061,1.177,1.249
ID717,3,0.04,0.24,0.1,0.869,0.904
ID619,3,0.053,0.379,0.148,1.069,1.125
ID913,4,0.084,0.319,0.164,0.879,0.953
ID156,5,0.056,0.403,0.157,0.839,0.887
ID990,3,0.045,0.235,0.104,1.2,1.254
ID566,3,0.069,0.284,0.14,0.96,1.027
ID944,4,0.062,0.1,0.087,1.122,1.192
ID622,3,0.032,0.258,0.097,0.933,0.964
ID829,3,0.034,0,0.034,0.822,0.85
ID557,3,0.034,0.032,0.042,0.997,1.03
ID209,3,0.056,0.222,0.111,0.991,1.046
ID153,3,0.028,0.23,0.085,1.085,1.116
ID410,2,0,0,0,0.874,0.874
ID770,3,0.055,0.233,0.113,1.2,1.266
ID831,3,0.041,0.254,0.105,0.94,0.979
ID481,3,0.061,0,0.061,1.013,1.075
ID375,2,0,0,0,1.076,1.076
ID602,2,0,0,0,0.721,0.721
ID671,5,0.059,0.305,0.136,0.987,1.046
ID498,3,0.053,0.048,0.065,0.743,0.8
ID416,3,0.039,0,0.039,1.071,1.113
ID827,5,0.079,0.306,0.156,1.032,1.114
ID832,3,0.06,0.094,0.083,0.986,1.045
ID859,3,0.057,0,0.057,0.961,1.016
ID857,4,0.069,0.394,0.168,0.889,0.951
ID315,4,0.103,0.53,0.235,1.027,1.133
ID794,3,0.065,0,0.065,0.796,0.848
ID413,3,0.055,0.206,0.107,1.048,1.106
ID987,3,0.037,0.301,0.113,0.862,0.894
ID610,5,0.085,0.328,0.167,1.081,1.173
ID600,3,0.059,0.17,0.101,0.924,0.979
ID745,1,0,0,0,0.855,0.855
ID311,3,0.052,0,0.052,0.957,1.006
ID245,3,0.042,0.119,0.072,1.014,1.056
ID604,3,0.056,0.281,0.126,0.907,0.957
ID924,5,0.067,0.215,0.12,0.946,1.01
ID164,2,0,0,0,1.036,1.036
ID644,3,0.052,0,0.052,1.03,1.084
ID511,4,0.098,0,0.098,0.932,1.024
ID817,5,0.083,0.263,0.149,0.988,1.071
ID229,3,0.041,0.319,0.121,0.796,0.829
ID86,3,0.056,0.365,0.147,0.906,0.957
ID200,3,0.031,0.191,0.079,0.994,1.025
ID578,5,0.102,0,0.102,0.946,1.042
ID677,3,0.064,0.167,0.106,1.105,1.176
ID761,4,0.077,0.42,0.182,1.166,1.256
ID162,2,0,0,0,0.991,0.991
ID755,2,0,0,0,0.952,0.952
ID148,3,0.052,0,0.052,0.989,1.04
ID188,3,0,0.099,0.025,0.99,0.99
ID408,2,0.011,0,0.011,1.032,1.043
ID68,3,0.064,0.215,0.118,0.925,0.984
ID299,3,0.035,0,0.035,0.965,0.999
ID577,3,0,0.119,0.03,0.955,0.955
ID205,3,0.063,0.175,0.106,0.834,0.886
ID984,3,0.057,0.247,0.119,0.917,0.969
ID804,3,0.054,0.134,0.087,0.952,1.004
ID786,3,0.066,0.116,0.095,0.886,0.944
ID787,3,0.047,0.095,0.071,1.2,1.257
ID980,3,0.053,0.307,0.13,0.984,1.036
ID284,5,0.085,0.342,0.17,1.098,1.191
ID227,4,0.081,0.33,0.163,0.979,1.058
ID658,3,0.051,0.295,0.125,1.077,1.132
ID278,2,0,0,0,0.892,0.892
ID632,4,0.065,0.361,0.156,1.068,1.137
ID877,2,0,0,0,0.862,0.862
ID650,5,0.085,0.422,0.19,0.879,0.954
ID133,3,0.051,0,0.051,1.068,1.122
ID429,1,0,0,0,0.953,0.953
ID442,3,0.058,0.151,0.095,1.119,1.184
ID768,5,0.077,0,0.077,0.984,1.06
ID391,3,0.049,0.118,0.078,0.778,0.816
ID25,2,0,0,0,1.062,1.062
ID213,2,0,0.067,0.017,1.069,1.069
ID879,3,0.04,0.163,0.081,1.021,1.062
ID60,3,0.059,0.222,0.114,1.094,1.158
ID175,3,0.046,0,0.046,0.972,1.016
ID249,3,0.062,0.183,0.108,0.885,0.94
ID860,3,0.032,0,0.032,1.089,1.123
ID418,5,0.089,0.319,0.169,1.049,1.143
ID705,5,0.093,0.37,0.185,1.068,1.167
ID6,4,0.067,0.317,0.147,0.743,0.8
ID737,5,0.098,0.341,0.183,1.07,1.175
ID231,4,0.11,0.536,0.244,1.137,1.262
ID62,3,0.053,0.191,0.101,0.988,1.041
ID738,5,0.088,0.322,0.168,1.083,1.177
ID582,3,0.026,0.282,0.096,1.099,1.127
ID339,3,0.034,0.138,0.069,1.058,1.095
ID957,2,0,0,0,0.886,0.886
ID197,1,0,0,0,1.073,1.073
ID636,3,0.048,0,0.048,0.83,0.87
ID583,3,0.045,0.252,0.108,0.943,0.985
ID688,3,0.043,0,0.043,0.901,0.94
ID533,4,0.071,0.269,0.138,0.933,0.999
ID277,2,0,0,0,1.086,1.086
ID885,5,0.071,0.1,0.096,1.047,1.121
ID444,3,0.049,0.277,0.118,0.968,1.015
ID543,5,0.082,0.494,0.206,0.798,0.864
ID214,3,0.048,0.344,0.134,0.984,1.031
ID692,3,0.054,0,0.054,0.963,1.015
ID670,2,0,0.126,0.031,0.845,0.845
ID838,4,0.078,0.204,0.129,0.871,0.939
ID584,5,0.066,0.191,0.114,0.999,1.065
ID389,2,0,0,0,0.904,0.904
ID572,3,0.042,0.337,0.127,0.882,0.92
ID847,3,0.061,0.11,0.088,0.887,0.941
ID923,4,0.087,0.34,0.172,0.824,0.895
ID166,3,0.054,0.193,0.102,0.98,1.032
ID764,3,0.038,0,0.038,0.848,0.88
ID911,4,0.067,0,0.067,1.024,1.093
ID915,3,0.059,0.366,0.15,0.908,0.961
ID702,3,0.06,0,0.06,0.997,1.056
ID275,2,0,0,0,1.104,1.104
ID492,3,0.031,0.376,0.125,1.147,1.183
ID395,2,0,0,0,0.7,0.7
ID732,3,0.038,0.134,0.071,1.167,1.211
ID50,2,0,0,0,0.991,0.991
ID52,2,0,0,0,0.98,0.98
ID350,3,0.032,0.126,0.063,0.954,0.984
ID562,4,0.083,0.212,0.136,0.906,0.981
ID366,2,0,0,0,0.987,0.987
ID282,1,0,0,0,0.825,0.825
ID65,3,0.065,0.212,0.118,1.189,1.266
ID876,5,0.085,0.259,0.15,0.969,1.051
ID695,4,0.076,0.137,0.11,0.874,0.94
ID616,3,0.059,0.024,0.065,1.044,1.105
ID490,3,0.046,0.151,0.084,0.87,0.91
ID124,3,0.054,0,0.054,0.963,1.016
ID752,2,0,0,0,0.963,0.963
ID612,4,0.094,0.501,0.22,0.881,0.964
ID953,3,0.061,0,0.061,1.088,1.155
ID106,2,0,0,0,0.865,0.865
ID36,3,0.05,0.274,0.119,1.008,1.059
ID972,3,0.057,0.238,0.117,1.066,1.127
ID642,2,0,0,0,0.823,0.823
ID192,3,0.05,0.265,0.117,1.183,1.242
ID571,3,0.046,0,0.046,0.834,0.873
ID664,3,0.061,0.281,0.131,1.085,1.151
ID672,5,0.071,0,0.071,1.021,1.093
ID758,2,0,0,0,0.933,0.933
ID900,3,0.069,0.082,0.089,0.788,0.843
ID506,3,0.055,0,0.055,1.05,1.107
ID517,3,0.035,0.279,0.105,1.174,1.216
ID763,4,0.068,0,0.068,1.057,1.129
ID443,5,0.09,0.716,0.269,0.868,0.946
ID780,4,0.068,0.1,0.093,0.7,0.8
ID665,3,0.044,0.096,0.068,0.845,0.882
ID26,2,0,0,0,0.7,0.7
ID239,3,0.046,0.071,0.064,1.053,1.101
ID95,5,0.074,0.31,0.152,1.014,1.09
ID742,3,0.04,0.042,0.051,0.924,0.961
ID724,5,0.067,0,0.067,1.088,1.161
ID394,1,0,0,0,1.113,1.113
ID377,3,0.054,0.285,0.126,0.922,0.972
ID228,3,0.048,0,0.048,0.961,1.007
ID528,3,0.028,0.228,0.085,0.949,0.976
ID493,3,0.066,0.232,0.124,1.005,1.071
ID343,4,0.091,0.307,0.168,0.932,1.017
ID202,4,0.064,0.486,0.185,0.974,1.036
ID643,3,0.059,0.412,0.162,1.121,1.187
ID434,4,0.1,0.403,0.201,0.862,0.949
ID895,2,0,0.146,0.037,0.929,0.929
ID328,1,0,0,0,0.88,0.88
ID419,3,0.056,0,0.056,0.952,1.005
ID963,5,0.082,0.22,0.137,1.161,1.257
ID431,4,0.079,0.304,0.155,0.937,1.011
ID559,3,0.05,0,0.05,0.807,0.847
ID210,3,0.056,0,0.056,1.003,1.059
ID967,5,0.063,0.385,0.159,0.992,1.054
ID182,4,0.08,0.1,0.105,1.014,1.095
ID711,1,0,0,0,1.034,1.034
ID631,2,0,0.051,0.013,0.965,0.965
ID15,5,0.064,0.308,0.142,1.2,1.277
ID942,3,0.062,0.153,0.1,1.035,1.1
ID364,4,0.068,0,0.068,0.991,1.058
ID586,4,0.076,0.287,0.148,0.997,1.073
ID338,4,0.092,0.472,0.21,0.981,1.071
ID313,3,0.058,0.297,0.132,0.893,0.944
ID247,4,0.065,0.374,0.158,0.904,0.962
ID719,5,0.087,0,0.087,0.995,1.081
ID950,5,0.073,0.208,0.125,0.972,1.043
ID241,3,0.041,0.093,0.064,0.999,1.039
ID846,5,0.08,0.422,0.186,1.081,1.167
ID137,3,0.071,0.224,0.127,0.789,0.845
ID776,2,0,0,0,1.03,1.03
ID597,3,0.061,0.005,0.062,1.165,1.236
ID864,3,0.043,0.105,0.07,1.006,1.05
ID118,3,0.055,0.125,0.086,0.995,1.05
ID633,2,0,0,0,0.942,0.942
ID452,3,0.046,0.264,0.112,1.042,1.09
ID288,3,0.05,0.143,0.086,0.934,0.981
ID96,2,0,0.191,0.048,1.101,1.101
ID387,3,0.043,0.192,0.091,0.995,1.038
ID491,3,0.053,0.184,0.099,1.136,1.197
ID725,3,0.026,0.237,0.086,0.985,1.011
ID789,3,0.051,0.161,0.091,0.978,1.027
ID629,3,0.032,0.075,0.051,0.928,0.958
ID372,1,0,0,0,1.097,1.097
ID347,3,0.041,0.173,0.084,0.831,0.865
ID479,5,0.067,0.137,0.102,0.891,0.951
ID221,5,0.071,0.457,0.186,0.968,1.037
ID585,3,0.052,0.394,0.151,0.924,0.972
ID306,3,0.048,0.386,0.144,0.941,0.986
ID949,3,0.054,0,0.054,0.866,0.913
ID348,4,0.088,0.587,0.235,0.816,0.888
ID812,3,0.055,0.273,0.123,1.16,1.224
ID985,5,0.105,0.482,0.225,1.02,1.127
ID184,1,0,0,0,0.969,0.969
ID2,3,0.044,0.243,0.104,0.935,0.976
ID324,3,0,0.222,0.056,0.861,0.861
ID39,2,0,0.125,0.031,0.99,0.99
ID667,2,0,0,0,0.956,0.956
ID17,2,0,0,0,1.111,1.111
ID564,3,0.039,0.155,0.077,0.848,0.881
ID653,3,0.037,0.43,0.144,1.009,1.046
ID367,4,0.087,0.443,0.197,1.151,1.251
ID176,4,0.077,0.34,0.162,0.916,0.987
ID946,3,0.05,0.218,0.105,1.171,1.23
ID945,5,0.077,0.228,0.134,0.907,0.977
ID477,3,0.058,0.123,0.089,0.908,0.96
ID5,3,0.056,0.119,0.086,1.013,1.069
ID800,3,0.049,0.098,0.073,0.982,1.03
ID996,4,0.09,0.239,0.15,0.978,1.066
ID773,3,0.047,0.264,0.113,1.015,1.063
ID28,5,0.06,0.18,0.105,0.878,0.93
ID906,3,0.06,0.211,0.112,1.082,1.147
ID369,2,0,0,0,1.124,1.124
ID45,3,0.06,0.171,0.103,1.13,1.199
ID553,5,0.076,0.116,0.105,0.725,0.8
ID281,3,0.045,0.319,0.125,1.041,1.087
ID485,3,0,0,0,0.879,0.879
ID538,4,0.072,0.115,0.101,1.2,1.287
ID92,4,0.078,0.309,0.156,1.048,1.131
ID867,3,0.025,0.243,0.085,0.948,0.971
ID301,3,0.025,0.286,0.097,0.863,0.885
ID682,5,0.086,0.1,0.111,1.184,1.286
ID496,3,0.052,0.052,0.065,1.057,1.112
ID620,5,0.099,0.314,0.178,0.862,0.947
ID14,3,0.05,0,0.05,0.977,1.026
ID121,2,0,0,0,0.946,0.946
ID404,3,0.056,0.242,0.116,0.946,0.999
ID8,3,0.054,0.172,0.097,0.933,0.982
ID910,5,0.096,0.15,0.133,0.801,0.877
ID890,2,0,0,0,1.134,1.134
ID561,3,0.066,0,0.066,0.779,0.831
ID135,3,0.058,0.198,0.107,0.936,0.99
ID673,3,0.054,0.142,0.089,1.138,1.199
ID750,3,0.048,0.224,0.104,0.772,0.809
ID109,3,0,0.17,0.042,0.845,0.845
ID206,3,0.047,0.167,0.089,0.806,0.844
ID814,3,0.056,0,0.056,1.015,1.072
ID883,2,0,0,0,1.016,1.016
ID446,5,0.065,0.303,0.141,0.86,0.915
ID44,3,0.047,0,0.047,0.975,1.02
ID730,3,0.063,0.208,0.115,0.892,0.948
ID34,2,0,0.173,0.043,1.109,1.109
ID136,2,0,0.146,0.036,1.009,1.009
ID657,3,0.063,0.307,0.14,1.087,1.155
ID500,4,0.083,0.503,0.208,1.004,1.087
ID482,3,0.055,0,0.055,1.036,1.093
ID398,3,0.062,0,0.062,0.754,0.801
ID76,3,0.061,0.151,0.099,0.965,1.024
ID767,5,0.073,0,0.073,0.942,1.011
ID591,4,0.066,0.202,0.117,0.763,0.814
ID441,4,0.076,0,0.076,1.065,1.146
ID721,3,0.05,0.086,0.071,0.796,0.836
ID167,3,0.049,0,0.049,0.996,1.045
ID494,3,0.039,0.089,0.061,0.892,0.927
ID320,3,0,0.341,0.085,1.2,1.2
ID784,3,0.045,0.269,0.112,0.821,0.858
ID510,2,0,0,0,0.856,0.856
ID977,4,0.086,0.4,0.186,1.059,1.15
ID236,3,0.066,0.274,0.135,0.84,0.896
ID265,1,0,0,0,0.7,0.7
ID123,3,0.057,0.156,0.096,0.877,0.926
ID111,3,0.042,0,0.042,1.003,1.044
ID190,2,0,0,0,0.826,0.826
ID894,5,0.069,0.34,0.154,0.936,1.001
ID607,4,0.102,0.484,0.223,1.061,1.169
ID330,3,0.038,0.261,0.103,0.88,0.913
ID833,3,0.069,0.178,0.113,0.815,0.871
ID460,3,0.045,0.12,0.075,0.769,0.803
ID858,3,0.049,0,0.049,1.062,1.114
ID810,2,0.014,0,0.014,1.001,1.015
ID808,3,0.059,0.119,0.089,1.184,1.255
ID360,3,0.042,0.194,0.091,1.124,1.172
ID280,4,0.081,0,0.081,0.877,0.948
ID715,4,0.083,0.103,0.109,1.036,1.122
ID352,3,0.065,0.235,0.124,1.059,1.128
ID345,4,0.091,0.145,0.127,0.926,1.011
ID851,3,0.062,0.103,0.088,0.938,0.995
ID932,3,0.047,0.105,0.074,0.88,0.921
ID625,3,0.032,0.173,0.075,0.937,0.966
ID958,3,0.044,0.298,0.118,1.175,1.227
ID336,5,0.095,0.144,0.131,0.934,1.023
ID323,3,0.041,0,0.041,1.032,1.074
ID298,4,0.087,0.406,0.188,1.055,1.146
ID342,3,0.058,0.362,0.149,1.021,1.08
ID834,3,0.035,0,0.035,0.917,0.949
ID716,3,0.057,0.225,0.113,0.909,0.96
ID806,5,0.069,0.531,0.202,1.086,1.161
ID222,3,0.05,0.395,0.149,1.12,1.176
ID992,2,0,0.138,0.034,0.87,0.87
ID731,1,0,0,0,0.921,0.921
ID948,4,0.093,0.253,0.157,1.053,1.152
ID608,4,0.084,0.133,0.117,1.144,1.24
ID293,3,0.037,0,0.037,0.97,1.006
ID436,3,0.056,0.153,0.094,0.987,1.042
ID534,3,0.075,0,0.075,0.965,1.037
ID183,3,0.057,0,0.057,1.2,1.268
ID63,2,0,0,0,1.017,1.017
ID438,4,0.086,0,0.086,1.148,1.246
ID191,5,0.083,0.358,0.172,1.052,1.139
ID651,3,0,0.302,0.076,1.183,1.183
ID234,5,0.073,0.289,0.145,0.978,1.05
ID514,5,0.086,0.363,0.177,1.059,1.15
ID929,3,0,0.227,0.057,0.766,0.766
ID733,5,0.078,0.281,0.148,1.097,1.182
ID128,2,0,0,0,0.987,0.987
ID837,1,0,0,0,1.009,1.009
