ID,PerformanceRatings,Engagement,Rewards,Accomplishment,ManagerRelations,Goals,PeerSupport
ID520,2,9.7,10,2.7,9.2,3.5,9.4
ID839,3,8.6,10,10,5.5,6.2,10
ID87,2,5.2,3.3,5.1,10,9.8,9.5
ID203,3,10,7.5,9.4,6.3,10,8.1
ID421,3,7.4,5.3,3.7,6.9,7.7,4.8
ID120,3,9.9,3.6,10,0.8,1.9,8.6
ID170,3,8.8,5.8,9.1,10,8.3,2.9
ID568,4,10,9.3,8.6,10,8.4,10
ID100,4,4.2,5.5,9.2,7.8,3.6,6
ID531,4,7.4,10,10,4.1,4.6,6.2
ID574,2,6.1,7,5.4,5,6.1,10
ID321,3,9,7.5,8.1,5.5,9.7,10
ID873,3,7.6,9.4,4.4,2.9,9.1,5.4
ID254,4,10,10,5.8,7.3,4.6,5.7
ID943,5,7.6,9.6,5.2,10,2.5,4.7
ID796,3,6.7,4.3,8.2,6.4,7.7,5.8
ID305,3,10,10,9.7,5.6,5.1,8.3
ID536,3,5.7,7.8,6,8.8,4.3,8.2
ID509,5,7.9,9.4,7.2,2.8,9.5,9.6
ID22,3,2.4,7.6,4.2,8.2,10,10
ID836,5,10,6.3,9.7,5.9,7.4,10
ID233,1,6.7,8.2,5.8,10,1.3,7.2
ID84,3,10,6.4,8.9,2.4,10,7.9
ID710,3,8.1,3.3,6.2,5.6,8.4,7.5
ID825,3,8.5,6,8.1,6.5,2.2,10
ID674,5,10,3.7,6.1,8.2,4.2,6.6
ID790,3,4.2,7.6,8,8.8,9.9,7.5
ID455,4,7.9,8.3,10,7.7,3.7,10
ID981,3,8.2,7.1,7.4,4.1,5.2,10
ID928,5,9,8.4,5.2,8.4,4.9,9.7
ID937,3,6.8,6.1,7.4,8,6.8,6.2
ID902,5,6.2,7.9,8.2,10,10,6.9
ID295,3,6.1,9,7.7,8.3,9.2,10
ID94,3,8.8,6.4,7.7,6.8,3.5,9.6
ID762,3,6.7,10,6.2,6.7,9.3,9.8
ID994,3,6.7,1.8,7,2.2,5.1,10
ID774,3,10,8.1,10,10,10,8.4
ID72,2,10,8.9,7,4.7,6.6,7.4
ID914,3,8.4,6.8,6.6,8.3,6.4,10
ID16,4,7.8,7.2,4.1,5.2,6.6,8.6
ID286,3,6.9,10,8.8,3.8,10,10
ID662,5,8.1,8.1,8.1,7,9.2,9.8
ID54,3,5.3,9,7.9,6.5,3.6,10
ID397,3,10,8.3,7.7,4.6,2.8,9.6
ID402,3,6.5,8.5,9.7,9.1,8.3,10
ID735,3,7.9,7.1,2.1,3.7,3.9,10
ID656,3,9.9,5.6,6.7,6.3,4,10
ID127,4,5,8.2,4.9,4.2,8.1,7
ID171,3,5,8.5,5.3,7.1,5.9,9.2
ID405,3,9.2,8.2,6,3.8,2,10
ID131,3,3.6,4.1,8.1,5.6,9.4,6.4
ID917,4,7.6,5,6.7,7.2,3.2,7
ID875,3,5,2.1,5,10,8.8,5.9
ID982,3,10,3,5.4,3.8,4.6,9.4
ID422,2,6,6.3,6,6.8,5.4,6.5
ID252,4,5.7,6.6,6,6.8,7.9,7.1
ID117,4,7,5.9,6.7,5.9,7.3,8
ID756,2,3.9,5.1,4.3,8,4.2,8.5
ID174,2,8.5,4.4,8.5,10,5.6,10
ID623,3,6.1,9.8,4.3,4.9,4,7.4
ID340,4,6,10,8.6,9.4,6.4,8.5
ID243,3,8.3,3.3,3,9,5.5,10
ID886,3,6.2,0,10,4.9,8.5,7.3
ID334,5,6.1,8.6,6,9.2,5.3,6.4
ID371,3,6.7,4.1,7.1,8.2,1.6,8.9
ID199,1,2.8,7.6,1,10,5.6,10
ID666,1,2.1,6,5.2,1.1,8.6,4.4
ID468,4,10,5.1,4,7.8,9.7,4.4
ID354,3,8.8,4.8,9.5,9,9,6.6
ID881,5,9.3,10,7.9,4,10,9.6
ID246,3,6.8,6.8,10,3.8,3.9,10
ID180,3,6.6,4.8,9.5,9.6,9.8,7.8
ID220,3,6.9,7.3,7.4,6.6,5.7,6.9
ID869,3,7.9,7.6,7.1,8.6,9.6,10
ID788,1,7.8,6.9,7.6,6.9,10,10
ID480,3,8.9,3.6,6.5,7.9,2.4,6.5
ID75,4,10,9.4,3,5.6,2.5,8.8
ID110,3,8,6.8,5.6,3.2,10,6.5
ID539,4,4.6,6,10,4.2,3.8,8.4
ID267,3,3.4,8.7,6,10,8.8,10
ID930,3,7.2,7,4.6,3.3,10,7.9
ID119,3,8.4,2.1,6.2,6,5.3,9.7
ID145,4,10,7.7,8.3,7.4,4.9,10
ID478,3,2,6.9,6.8,5.7,6.5,10
ID312,2,2.3,3.7,3.2,8.8,2.9,10
ID64,4,7.1,10,10,9.4,10,4.7
ID223,3,8.7,8,7.9,9.8,4.5,5.3
ID20,3,10,0,7.6,0.2,4.1,8
ID21,4,6.2,9.6,7.6,9.8,8.5,5.5
ID187,5,4.8,0.8,6.4,2.5,7.2,8.1
ID975,1,4.7,6.8,7.4,4.6,8.6,7.1
ID507,3,9,6.8,7.8,2.5,9.5,10
ID29,2,5.8,7.7,3.7,6.6,4.6,5.4
ID866,1,10,10,4.3,10,6.7,8.5
ID645,3,9.6,8.1,10,9.7,8.4,6.2
ID316,4,7.8,6.6,6.2,7,9.3,4.6
ID973,3,6.7,5.8,10,9.8,7.8,10
ID462,2,7.3,7.6,4,7.3,7.8,7.5
ID373,3,7.9,5.5,4.8,6.3,10,5.2
ID912,5,10,10,8.4,5.7,4.3,8
ID681,4,7.6,5.8,8.4,4.9,4.1,10
ID224,3,4.3,2.2,6,6.9,10,9
ID433,1,4.6,2.8,7.2,4.6,6.1,9.3
ID998,2,6.3,5.9,3.9,7.4,4.1,5.9
ID649,3,7.7,6,6.3,3.6,9.9,7
ID840,2,4.7,8.3,4.5,5.9,5.1,7
ID887,4,10,10,7.2,8.6,7.5,6.8
ID129,4,10,8,6.7,1.2,5.2,6.9
ID819,3,7.6,5.2,8.6,9,6.6,10
ID55,5,10,4.1,7,7.2,3.4,8.1
ID159,2,5.2,10,6.4,7.4,1,8.3
ID640,2,6.8,6.7,3.4,4.8,6.7,10
ID936,5,10,8,7.2,5,7.5,3.3
ID841,3,5.2,8.1,6.4,7.3,6.4,7.8
ID861,3,10,9.4,8.5,5.1,6.2,7.2
ID862,3,7.2,4.5,5.7,5,7.4,6.1
ID467,3,8.5,6.8,8.9,3.3,6.1,8.9
ID458,3,4.7,3.5,7.6,0,6.2,7.3
ID32,3,4.4,5.1,9,6.4,10,7.6
ID717,3,6.1,10,4,8.7,7.4,5
ID619,3,9.3,5.3,7.4,10,4.7,7.1
ID913,4,10,9,8.4,8.9,5.4,6.6
ID156,5,4.5,7.9,9.9,7.5,10,8.8
ID990,3,7.4,8.4,10,5.1,6.1,5.8
ID566,3,7,3.3,7.8,1,6.5,9.9
ID944,4,7.3,7.4,6.9,9.8,6.8,8.5
ID622,3,9.2,9.2,6.7,5.2,3,6.9
ID829,3,9.5,7.6,9.3,10,2.5,3.8
ID557,3,8.8,6.5,8,2.4,8.5,3.8
ID209,3,8.6,8.6,7.8,5.4,8,7.8
ID153,3,2.6,10,8.3,5.4,6,9.6
ID410,2,7.2,5.7,7.5,5.6,7,7.4
ID770,3,7.2,9.2,7.6,3.6,7.2,10
ID831,3,2.9,3.4,8.5,7.5,3.8,6.7
ID481,3,8.5,0.7,7.6,5.9,9.7,10
ID375,2,5.3,0,6.2,7,4,0.5
ID602,2,6.4,8.9,9.4,8.3,6.3,10
ID671,5,10,8.6,8.7,8,0,10
ID498,3,9.8,4.1,6.8,7.7,9,9
ID416,3,6.8,9.3,3.6,9.7,10,9
ID827,5,9,5.2,10,3.6,7,5.2
ID832,3,10,3.7,5.7,3.7,6.9,5
ID859,3,7.6,4.4,5.5,6,7.2,6.5
ID857,4,9.6,9.5,9,5.8,5.2,8.9
ID315,4,6.9,8.7,6.8,7.8,6.7,7.4
ID794,3,5.6,9.7,6.6,1.9,2,10
ID413,3,6.9,7.8,4.6,5.4,10,8.3
ID987,3,8.2,4.1,10,6,5.5,6.3
ID610,5,6.4,9.5,10,6.7,6.4,8.5
ID600,3,6.8,7.9,1,2.6,5.9,10
ID745,1,3.9,6.6,5.7,8,10,6.5
ID311,3,6.9,3.5,7.4,5.6,4,6.3
ID245,3,8.6,8.2,10,10,1.5,9.7
ID604,3,10,4.3,9,5.3,10,10
ID924,5,10,9.9,7,3,10,10
ID164,2,8.9,4.8,5.6,9,4.5,3.6
ID644,3,7.6,7,8.7,7,7,10
ID511,4,7.4,7.4,4.1,8.3,2.5,10
ID817,5,10,5.9,8.4,2.7,5,7.9
ID229,3,6.3,6.2,7.1,6.2,3.7,6.9
ID86,3,10,6.2,10,3.6,6.4,8
ID200,3,4.9,5.6,8.5,3.4,10,10
ID578,5,6.3,10,6.8,9.2,8.7,10
ID677,3,3,4.3,9.3,10,7.4,6.4
ID761,4,5.8,8.8,5.6,5.5,5.9,10
ID162,2,6.1,8.1,8.1,9.1,10,2.8
ID755,2,6.9,4.2,10,8,8.2,9.5
ID148,3,5.4,10,10,2.1,3,7.5
ID188,3,8,2.9,9.7,7.7,8.7,6.2
ID408,2,7,4.6,6.2,6.7,8,7.5
ID68,3,4.9,9.5,6.1,2.9,6.6,3.8
ID299,3,5.2,5.6,6.3,5.2,5.7,8.3
ID577,3,10,7.2,5.3,10,5.3,8.5
ID205,3,8.7,3,4.2,9.2,3.8,6.2
ID984,3,6.1,3.9,4.2,9.9,4,3.5
ID804,3,6.2,6.2,7.4,1.5,9.1,6.5
ID786,3,7.9,7.1,2.5,3.8,5.9,10
ID787,3,8.4,1.8,7.5,8.8,8.1,7.8
ID980,3,5.7,7.7,4.8,7.9,3.3,8.6
ID284,5,4.3,5.9,8.3,3,7,10
ID227,4,6.3,10,10,6.9,7.7,6.3
ID658,3,6.9,7.3,5.7,7.3,3.6,9.5
ID278,2,8.1,3.5,7.2,10,4.3,1.8
ID632,4,6.1,2.7,9,6.6,9.7,10
ID877,2,8.2,10,8.6,3.4,8,8.6
ID650,5,5.2,0.3,5,7,6,8.3
ID133,3,5.4,8.9,4.7,8.9,3.8,3.2
ID429,1,4.3,8.4,2.9,5.9,7.7,8.7
ID442,3,6.5,5.3,9.1,10,4.1,8.4
ID768,5,4,4.4,10,8.7,5.1,5.8
ID391,3,3.8,4.6,6.5,4.5,1.3,7.3
ID25,2,7.7,5.5,2.7,2.3,10,10
ID213,2,6.4,3.9,6.5,5.6,7.9,6.7
ID879,3,5.8,5,7.1,7.1,8.1,7.8
ID60,3,5.6,3,8.3,10,4.2,6.4
ID175,3,6.6,6.7,7,2,9.8,10
ID249,3,10,3.9,8.3,6.8,7.6,3.5
ID860,3,8.9,4.1,7.9,0,7.7,9.7
ID418,5,6.5,9.2,5.5,4.2,5.4,10
ID705,5,10,10,10,9.9,8.1,10
ID6,4,5.8,0,3.4,10,5.3,8.4
ID737,5,10,9.4,10,10,7.1,9.7
ID231,4,7.3,6.8,5,4,5,5.3
ID62,3,9.1,8.9,7.4,7.2,6.9,8.1
ID738,5,10,4.1,4.2,2.6,5.6,8.6
ID582,3,7.4,8.5,6.2,8.8,8.4,8.1
ID339,3,7.9,7.6,9.8,2.6,5.9,7.3
ID957,2,5.3,6.9,4.2,4.4,10,9.9
ID197,1,10,8.1,6.6,9.8,6.3,6.5
ID636,3,8.4,3.9,10,7.2,5.7,6.2
ID583,3,10,5,9.3,4,6.7,9.2
ID688,3,6.3,5.5,8.2,0,6,10
ID533,4,10,9,10,8.8,3.8,8.3
ID277,2,4,4.9,7.7,7.8,5.5,8.1
ID885,5,5.6,2.4,8,6.5,8.1,7.9
ID444,3,3.7,9.4,7,3.3,4.6,8.1
ID543,5,5.4,3.6,9.3,10,7,10
ID214,3,9.3,9.5,6.5,6.1,4.9,7.8
ID692,3,10,7,8.3,9.1,9.6,9.9
ID670,2,7.7,5.6,6.6,9,5.7,7.5
ID838,4,3.9,10,10,8.1,8.7,9.7
ID584,5,6.9,6.6,7.2,3.4,4,10
ID389,2,4.4,5.2,6.2,9.6,0.9,10
ID572,3,8.5,5.9,7.5,4.1,6.1,5.2
ID847,3,8.5,0.5,7,4.5,10,8.7
ID923,4,10,6,7.2,10,2.2,6.9
ID166,3,7.3,7.6,7.1,0.7,4.5,8.8
ID764,3,9.7,8.6,2.6,6.7,6.7,6.5
ID911,4,8.3,5.2,10,7.5,10,9.8
ID915,3,10,10,5.9,9.8,6.6,10
ID702,3,9.6,7.5,8.6,8.3,7.9,10
ID275,2,8.3,9.7,0,10,8.2,10
ID492,3,1.4,8.5,7.1,6.7,6.9,10
ID395,2,6,8.1,6.5,4.1,5.1,8.1
ID732,3,7.7,4.6,4,10,6.8,10
ID50,2,8.1,5.1,3.8,8,5.7,8.3
ID52,2,4.6,5.9,0,4.8,4.3,6.2
ID350,3,8.2,3.6,6.4,9.4,2,9.5
ID562,4,10,10,10,9.2,7.8,3.2
ID366,2,8.2,5.2,10,9.4,10,8.7
ID282,1,6.2,7.1,7.3,3.2,8.4,3.8
ID65,3,9.4,10,5.8,9.3,7.7,6.9
ID876,5,7.5,8.5,10,6.7,6,10
ID695,4,7.5,10,10,5.7,5.2,10
ID616,3,7.3,9,5.6,7.5,4.9,8.7
ID490,3,4.9,4,8.8,7.5,4.1,6.9
ID124,3,10,5,7.5,3.2,4.4,8
ID752,2,7.5,5.5,4.4,8.9,4.9,8.6
ID612,4,5.3,5.6,4.5,10,0,7.1
ID953,3,8,10,10,7,10,7.2
ID106,2,9.7,4.7,3.3,10,5.6,4.9
ID36,3,7,5.2,9,0,7.5,10
ID972,3,6.5,7.1,5.8,5.6,6.8,7.7
ID642,2,6.2,4.1,4.9,7.7,2.7,6.2
ID192,3,4.9,3.6,8.1,9.7,7.6,6.7
ID571,3,7.1,9,5.2,6.4,4.9,9
ID664,3,10,6.9,7.5,9.8,5.7,9.1
ID672,5,7.8,3.6,7.8,6.9,3.1,9.8
ID758,2,5.7,4.9,5.6,9.4,10,5.5
ID900,3,9.9,6.8,6.4,3.2,0,5.5
ID506,3,6.1,7.1,5.9,5.9,9.4,6.9
ID517,3,8.8,3.3,7,10,4.1,6.6
ID763,4,8.6,10,10,3.7,6.1,7.4
ID443,5,7.5,7.4,9.9,1.2,9.1,6.2
ID780,4,9.5,10,6.6,4.4,7.5,9.1
ID665,3,9.7,5.7,7.5,10,10,4.6
ID26,2,6.1,8.8,5.7,10,5.6,10
ID239,3,10,0.1,7.3,5.5,8.1,3.4
ID95,5,5.9,4.4,10,2,5.2,2.9
ID742,3,5,6.4,8.9,5.4,8.6,10
ID724,5,7.5,5.6,10,4.5,3.9,8.7
ID394,1,1.6,6.7,6.8,6.5,5.8,5.7
ID377,3,2.6,2.4,5.9,2.8,5.5,8.1
ID228,3,9.6,3.1,9.6,10,6.7,9.9
ID528,3,8.1,1.4,8.1,10,3.1,9.4
ID493,3,7.4,10,7.1,5.3,7.5,9.3
ID343,4,8,10,6.3,9.3,8.9,9.1
ID202,4,7.5,6.3,7.2,5.8,7.2,7.3
ID643,3,5.3,7.6,10,6.9,9.1,10
ID434,4,9.1,6.3,7.1,8.8,4.4,9
ID895,2,10,10,6.4,10,7.7,9.8
ID328,1,7.3,5.3,5.8,10,10,6.6
ID419,3,10,2.3,7.1,8.2,10,8.6
ID963,5,5.2,6.3,4.8,5.9,6.9,9.7
ID431,4,7.5,4.6,10,4.8,6.6,8.3
ID559,3,7,8.8,9.2,9.2,6.1,9.6
ID210,3,10,1.7,9.1,4.6,5.5,5.1
ID967,5,9.2,7.1,6.6,2,3.9,9.7
ID182,4,8.6,6.1,7.1,8,9,6.4
ID711,1,9.3,10,5.4,10,2.5,10
ID631,2,4.4,1.4,9,10,4.3,10
ID15,5,3.3,5.6,8.4,9.1,9.6,9.4
ID942,3,7.9,6,8.7,10,0,8.5
ID364,4,8.2,9.6,8.1,8,3.3,7.2
ID586,4,8.5,6.2,9.7,5.3,2.2,10
ID338,4,7.1,6.8,4.1,10,4.8,10
ID313,3,10,9,8.8,8.6,3.8,4.9
ID247,4,7.3,7.4,10,8.1,6.4,8.3
ID719,5,7.8,7.7,5.4,5.3,10,8.1
ID950,5,8.3,10,10,7.4,6.5,9.7
ID241,3,4.8,3.1,3.1,7.6,2.5,6.9
ID846,5,5.4,8.5,6.3,5.6,10,9.5
ID137,3,6.4,4.6,7.5,10,4,5.1
ID776,2,8.6,2.5,5.2,7.5,4.3,10
ID597,3,5.8,9.4,9.4,7.1,9.5,10
ID864,3,2.2,5.8,8.6,10,2,10
ID118,3,4.1,8,0,4.9,8.2,6
ID633,2,5.9,8.2,7,6.4,8.2,7.5
ID452,3,4.6,5.1,4.5,7.4,8,10
ID288,3,9.5,4.1,10,4.3,5.6,7.8
ID96,2,7.9,4.6,3.8,8.8,10,8.7
ID387,3,9.1,4,9.8,4.5,10,10
ID491,3,5.1,5.9,4.1,3.5,9.6,10
ID725,3,6.2,7,3.8,7.3,7.6,9.3
ID789,3,5.3,7.4,6.5,8.2,2.3,5.8
ID629,3,7.3,7.4,3.7,3.5,2.6,10
ID372,1,10,10,4.8,7.6,10,9.1
ID347,3,7.4,7.4,7.5,8.3,7.4,8.8
ID479,5,8.1,9.8,7.2,2.1,5.6,8.5
ID221,5,6.1,2.2,7.1,4.8,1.9,9.5
ID585,3,6.5,7.2,6.6,4.6,6.8,10
ID306,3,9,7.9,9.1,4.3,5.4,8.5
ID949,3,7.5,10,7.8,2.5,0,3
ID348,4,10,8.7,8.4,5.1,9.1,10
ID812,3,4.7,5.5,4.8,6.5,7.4,6.1
ID985,5,5.6,8.7,7,7.9,10,8.4
ID184,1,5.6,1.3,6.3,8.5,9.2,7.6
ID2,3,6.7,0,10,10,2.4,10
ID324,3,10,10,4.3,7.6,4.9,10
ID39,2,4.4,6,7.7,9.6,8.9,10
ID667,2,4.1,5.2,5.6,9.5,8.7,9.8
ID17,2,4.7,4.5,6.7,6.9,7.7,4.7
ID564,3,8.7,5.2,6.5,9.6,0,8.3
ID653,3,1,7.6,3.7,5.7,6.4,10
ID367,4,5.8,7.1,10,6.2,3.8,6.9
ID176,4,8.3,7.8,10,6.4,9,6.6
ID946,3,6.7,10,10,6.8,4.8,7
ID945,5,9,5.1,10,6.4,8.1,9.1
ID477,3,10,10,9.5,5.8,3.8,8.7
ID5,3,5.1,9.9,7.8,10,9.4,8.6
ID800,3,8.2,5,6,9.4,7.7,9
ID996,4,7.1,6,5.5,4,10,10
ID773,3,10,3.7,9.5,8.5,4.7,10
ID28,5,3.9,9.9,10,8.5,7.7,7.6
ID906,3,3.5,2.9,6,5,2.2,10
ID369,2,2.3,4.2,1.9,3.6,6.5,5.4
ID45,3,8.9,1.2,9.8,9.2,5.7,6
ID553,5,2.7,6.9,9.2,6.2,6.1,6.3
ID281,3,8.7,1.9,7.3,6.1,7.6,9.2
ID485,3,5.3,7.7,6.1,4.7,6.2,6.5
ID538,4,10,6.7,4.8,5,5.1,8.9
ID92,4,9.1,8.7,9.6,4.7,6,9.9
ID867,3,4.7,9.2,10,8.9,3.6,7.2
ID301,3,10,6.9,10,9.2,5.5,7.5
ID682,5,10,3.8,10,10,7.9,5.9
ID496,3,10,6.7,5.9,7.4,8.7,9.2
ID620,5,9.6,5.2,10,7,10,8.9
ID14,3,4.3,4.8,6.8,7,7.8,8.2
ID121,2,8.5,7.6,4,7.9,4.3,8.1
ID404,3,7.9,5.5,6.3,7.7,9.6,6.3
ID8,3,5.5,7.1,6.8,6.7,6.3,9.5
ID910,5,9.8,7.1,10,8.1,8,6.7
ID890,2,6.9,4.9,1.5,10,10,10
ID561,3,5.3,7.6,7.1,5.6,5.1,6.1
ID135,3,9,8.3,10,9.6,10,9
ID673,3,2.7,4.6,7,3.5,5.5,9.5
ID750,3,10,5.3,5.1,6.4,7.4,7
ID109,3,7.9,5.2,7.9,5.2,6.7,7.5
ID206,3,10,6.9,7.5,5.9,5.3,10
ID814,3,3.8,1.8,6.5,8.3,5.5,4.3
ID883,2,9.5,5.3,3.2,6.8,5.4,7.6
ID446,5,10,6.1,5,10,3.2,10
ID44,3,8.5,9.2,4.6,2.4,10,10
ID730,3,10,6.7,7.1,5.4,8,9.1
ID34,2,5.6,7.9,6.6,5.7,4,8.4
ID136,2,7,10,5.5,8.3,8.1,10
ID657,3,7.7,5.9,6.9,7.8,4.3,9.5
ID500,4,8.5,9.5,6.5,6.4,3.2,8.9
ID482,3,9.4,4.2,5.7,7.4,4.4,10
ID398,3,7.2,10,5.8,5.3,7.1,9.6
ID76,3,4.9,6.4,8.6,4.4,1,9.7
ID767,5,10,6.2,10,2.4,3.4,9.2
ID591,4,7.3,10,9.6,8.1,9.2,8.3
ID441,4,10,9.3,10,3.5,6.5,6.3
ID721,3,3,9.7,8.5,9.8,10,10
ID167,3,8.4,3.8,5.9,5.2,4.6,9.6
ID494,3,1.4,8.2,7.1,1.5,6.3,9.2
ID320,3,3.6,8.1,9.7,6.9,5.3,5.1
ID784,3,7.1,9.3,3.1,6.7,6.3,10
ID510,2,5.1,10,0.6,10,1.8,5.5
